route_id,route_name,length_km,avg_trip_time_min,num_stops,current_peak_freq,current_offpeak_freq,route_category,priority_score,depot_id
13A,Shivajinagar - VIT College,11.9,41.4,33,2,1,trunk,0.522,Pimpri
13B,Pune Vidhyapeeth - Upper Depo,14.5,53.4,31,2,2,trunk,0.555,Swargate
13C,Upper Depo - Pune Vidhyapeeth,14.5,55.7,38,1,1,trunk,0.484,Balewadi
13,Shivajinagar - Upper Depot,10.0,35.4,21,1,1,trunk,0.468,Maan-Hinjewadi
13L,Shivajinagar - Lake Town Society,9.6,37.3,25,1,1,trunk,0.479,Shewalewadi
140,Pune Station - Upper Depot,11.3,40.1,29,2,2,trunk,0.946,Charholi
141A,Marketyard - Khandoba Mandir,6.0,22.9,10,1,1,feeder,0.096,Aundh
141,Pune Station - Khandoba Mandir,11.9,44.5,28,1,1,trunk,0.948,Bhosari
142,Ghotawade Phata - Pune Station,31.8,112.9,80,1,1,suburban,0.943,Dhankawadi
143A,Pune Station - Galinde Path (Vai Nal Stop),11.3,39.4,29,1,1,trunk,0.932,Hadapsar
143,Pune Station - Galinde Path (Vai Mhatre Pul),11.3,44.3,26,2,2,trunk,0.933,Katraj
144A,Pune Station - Sai Sayajinagar,13.9,51.6,34,2,1,trunk,0.943,Kothrud
144B,Sainathnagar - Kumbre Park,22.7,81.8,63,2,1,suburban,0.525,Nigdi
144,Pune Station - Kothrud Stand,9.0,36.6,21,2,2,trunk,0.876,Kothrud
144D,Pune Station - Kumbare Park,12.5,40.4,26,1,1,trunk,0.888,Pimpri
144K,Pune Station - Gujrat Colony,9.0,33.3,23,2,1,trunk,0.95,Swargate
145A,D2 Circle - Pune Station,25.75,89.5,65,1,1,suburban,0.938,Balewadi
145B,Sutarwadi Pashan - Pune Station,13.0,48.2,33,2,1,trunk,0.636,Maan-Hinjewadi
145,NDA Golmarket - Pune Station,23.15,82.3,60,1,1,suburban,0.931,Shewalewadi
146,Gokhalenagar - Pune Station,8.45,29.0,20,1,1,trunk,0.514,Charholi
147A,Nhavi Sandas - Kesnand Phata,23.2,77.4,50,1,1,suburban,0.461,Aundh
147,Nhavi Sandas - Pune Station,38.0,133.3,80,2,1,suburban,0.959,Bhosari
148A,Bhosari - Bhekrainagar,33.7,123.0,80,1,1,suburban,0.498,Bhosari
148,Pimplegurav - Shewalwadi,24.8,83.1,59,1,1,suburban,0.482,Dhankawadi
149A,Bhakti Shakti - Shewalwadi,42.9,147.3,80,1,1,suburban,0.552,Hadapsar
149,Pimpri - Shewalwadi,37.6,132.3,80,1,1,suburban,0.514,Pimpri
14,Kesnand Phata - Dhayari Maruti Mandir,31.6,108.3,77,1,1,suburban,0.484,Katraj
151,Alandi - Pune Station,22.0,78.6,56,1,1,trunk,0.931,Kothrud
152A,Munjabavasti - Ma Na Pa,12.3,46.6,29,2,1,trunk,0.454,Nigdi
152D,Ma Na Pa - Dhanorigaon,11.6,40.5,30,2,2,trunk,0.51,Pimpri
154,Vishrantwadi - Pune Station,8.5,30.5,24,1,1,trunk,1.0,Swargate
155,Lohgaon - Pune Station (Via Dhanori),15.7,55.3,40,1,1,trunk,0.947,Balewadi
158A,Dadachi Padal - Ma Na Pa,15.5,51.4,37,1,1,trunk,0.436,Maan-Hinjewadi
158,Lohgaon - Ma Na Pa,13.5,51.0,30,1,1,trunk,0.556,Shewalewadi
159,Talegaon Dhamdhere - Ma Na Pa,40.5,143.5,80,1,1,suburban,0.49,Charholi
159K,Koregaon Bhima - Ma Na Pa,29.0,98.9,72,1,1,suburban,0.53,Aundh
159P,Pabal Phata - Ma Na Pa,40.8,144.3,80,1,1,suburban,0.541,Bhosari
160,Mundhwagaon - Ma Na Pa,10.9,36.1,28,2,1,trunk,0.563,Dhankawadi
161,Vimannagar - Warje Malwadi,23.0,83.2,60,2,1,suburban,0.955,Hadapsar
162,Kendurgaon - Pune Station,43.0,153.1,80,1,1,suburban,0.928,Katraj
163,Kharadi Gaon - Pune Station,11.0,32.9,23,1,1,trunk,0.49,Kothrud
164,Vimannagar - Swargate,15.5,52.5,34,2,1,trunk,0.963,Swargate
165,Vadgaonsheri - Ma Na Pa,11.1,40.5,26,1,1,trunk,0.571,Nigdi
166,Vimannagar - Pune Station,9.5,32.6,24,1,1,trunk,0.89,Pimpri
167,Kesnand Phata - Hadapsar Gadital,14.2,52.1,33,1,1,trunk,0.579,Hadapsar
168,Keshavnagar - Ma Na Pa,11.6,38.0,26,2,1,trunk,0.547,Swargate
169,Keshavnagar - Ma Na Pa (Vai Koregaon Park),12.0,41.0,34,2,1,trunk,0.54,Balewadi
170A,Kondhwa Bk - Pune Station,11.3,44.6,27,1,1,trunk,0.702,Maan-Hinjewadi
170B,Kondhwa Hospital - Pune Station,12.0,37.7,31,1,1,trunk,0.708,Shewalewadi
170,Kondhwa Bk - Pune Station,11.3,32.7,25,1,1,trunk,0.729,Charholi
174A,NDA Golmarket - Pune Station,21.0,73.6,51,1,1,trunk,0.944,Aundh
174B,D2 Circle - Pune Station,23.4,79.6,60,2,1,suburban,0.943,Bhosari
174,Kondhwa Gate - Pune Station,18.8,67.2,53,1,1,trunk,0.711,Dhankawadi
175,Hadapsar Gadital - Ma Na Pa,16.0,54.2,36,1,1,trunk,0.559,Hadapsar
176A,Krushnanagar Mohammadwadi - Swargate (Vai NIBM),12.1,40.0,30,1,1,trunk,0.099,Swargate
176,Mahammad Wadi - Swargate,12.1,40.4,32,1,1,trunk,0.116,Swargate
177A,Azadnagar - Vishrantwadi,18.4,66.6,46,1,1,trunk,0.98,Hadapsar
177B,Siddharthnagar - Pune Station,9.7,35.0,21,2,1,trunk,0.934,Katraj
177,Salunke Vihar - Pune Station,9.2,36.2,22,2,1,trunk,0.977,Kothrud
177D,Azadnagar - Pune Station,9.5,30.1,22,1,1,trunk,0.864,Nigdi
177K,Krushnanagar Mohammadwadi - Pune Station,10.9,34.9,24,2,1,trunk,0.996,Pimpri
177M,Mahammad Wadi - Pune Station,13.3,43.3,33,2,1,trunk,0.985,Swargate
179A,Vadachiwadi - Hadapsar Gadital,9.6,28.9,20,2,1,trunk,0.556,Hadapsar
179,Vadachiwadi - swargate,14.2,52.6,36,1,1,trunk,0.099,Swargate
17A,Narhegaon - Natraj Stand,11.0,42.6,25,2,1,trunk,0.483,Balewadi
17B,Shaniwarwada Stand - Swargate,2.8,12.2,8,1,1,feeder,0.13,Swargate
17,Narhegaon - Shaniwarwada,13.2,47.3,28,1,1,trunk,0.083,Maan-Hinjewadi
180,Bhekrainagar - Na Ta Wadi,15.5,50.9,40,1,1,trunk,0.476,Shewalewadi
181A,SRP Camp - Na Ta Wadi,12.3,42.1,30,1,1,trunk,0.544,Charholi
181B,Siddharthnagar - Na Ta Wadi,11.5,42.0,27,2,1,trunk,0.481,Aundh
181C,Kondhwa Bk - Na Ta Wadi,13.8,41.5,39,2,1,trunk,0.664,Bhosari
181,Kondhwa Kh - Na Ta Wadi,11.5,34.8,27,1,1,trunk,0.683,Dhankawadi
183A,Theur Factory - Sarasbaug,27.9,100.2,71,1,1,suburban,0.467,Hadapsar
183,Theur - Hadapsar Gadital,17.4,67.6,44,2,1,trunk,0.589,Hadapsar
184A,Bhekrainagar - Swargate,12.1,37.5,30,1,1,trunk,0.133,Swargate
184A-NGT,Hadapsar Gadital - Swargate,9.5,33.0,28,1,1,trunk,0.624,Hadapsar
184B,Fursungi - Swargate,15.3,51.4,38,1,1,trunk,0.124,Swargate
184,Fursungi - Padmawati,19.6,64.1,48,2,1,trunk,0.49,Katraj
185,Manjari Kh - Hadapsar Gadital,8.3,24.2,15,2,2,trunk,0.566,Hadapsar
186A,Swargate - Jspm College,13.3,39.2,35,2,1,trunk,0.099,Swargate
186B,Hadapsar Gadital - JSPM college,4.7,19.1,12,1,1,feeder,0.529,Hadapsar
186,Pune Station - Jspm College,14.2,51.4,36,2,1,trunk,0.948,Kothrud
187,Pune Station - Bhekrainagar,15.0,56.7,35,2,1,trunk,0.955,Nigdi
188,Katraj - Hadapsar Gadital,18.0,62.2,43,1,1,trunk,0.251,Katraj
189,Devachi Uruli - Hadapsar Gadital,6.7,22.4,17,1,1,feeder,0.555,Hadapsar
18,Bhansali Complex - Swargate,8.5,23.2,18,1,1,trunk,0.143,Swargate
190A,Vadkigaon - Hadapsar Gadital,8.7,28.0,21,1,1,trunk,0.54,Hadapsar
190,Fursungi - Hadapsar Gadital,6.0,18.1,14,1,1,feeder,0.561,Hadapsar
191,Trinity College - Pune Station,14.5,52.9,35,1,1,trunk,0.909,Pimpri
192A,Mohammadwadigaon - Hadapsar Gadital,6.0,23.3,11,1,1,feeder,0.568,Hadapsar
192,Undrigaon - Hadapsar Gadital,8.0,23.5,22,1,1,trunk,0.673,Hadapsar
193,Uruli Kanchan - Hadapsar Gadital,22.8,80.2,60,1,1,suburban,0.538,Hadapsar
195,Holkarwadi - Hadapsar Gadital,8.5,34.4,22,1,1,trunk,0.541,Hadapsar
196A,Mahammad Wadi - Swargate (Vai Ram Takedi),13.1,42.9,34,1,1,trunk,0.08,Swargate
196,Hadapsar Gadital - Pune Station,12.4,44.6,31,1,1,trunk,0.563,Hadapsar
197,Kothrud Depot - Hadapsar Gadital,17.6,57.3,37,1,1,trunk,0.213,Kothrud
198,Manjari Bk - Hadapsar Gadital,11.0,33.2,27,1,1,trunk,0.538,Hadapsar
19A,Shivajinagar - Marketyard,7.6,28.4,17,1,1,feeder,0.552,Swargate
19B,Kondhwa Hospital - Marketyard,9.0,28.7,28,2,2,trunk,0.686,Balewadi
19,Shivajinagar - Kondhwa Hospital,16.6,55.8,44,2,1,trunk,0.532,Maan-Hinjewadi
200A,Hadapsar Gadital - Sadesatranali,3.0,12.5,9,1,1,feeder,0.606,Hadapsar
200,Swargate - Sadesatranali,12.4,38.4,31,2,1,trunk,0.124,Swargate
201,Alandi - Bhekrainagar,34.3,126.2,80,1,1,suburban,0.55,Shewalewadi
202A,Mahatma Gandhi Stand - Warje Malwadi,13.1,46.3,33,2,1,trunk,0.26,Charholi
202B,Mahatma Gandhi Stand - Swargate,13.1,42.3,32,2,1,trunk,0.116,Swargate
202,Warje Malwadi - Hadapsar Gadital,19.2,70.4,48,2,1,trunk,0.274,Hadapsar
203,Pune Station - Bhekrainagar,12.6,41.2,31,2,1,trunk,0.93,Aundh
203-NGT,Pune Station - Hadapsar Gadital,10.0,36.8,26,2,1,trunk,0.899,Hadapsar
203P,Pune Station - Shewalwadi,13.5,50.8,36,2,1,trunk,0.966,Bhosari
204,Chinchwadgaon - Bhekrainagar,31.9,109.3,80,1,1,suburban,0.475,Dhankawadi
205,Vasantdada Putala Sangvi - Hadapsar Gadital,26.5,93.1,62,1,1,suburban,0.601,Hadapsar
206,Vishalnagar - Hadapsar Gadital,26.8,94.0,65,1,1,suburban,0.575,Hadapsar
207A,Saswad - Hadapsar Gadital,23.0,82.1,56,1,1,suburban,0.55,Hadapsar
