route_id,period,frequency,buses_assigned
186B,midday,2,2
186B,PM_peak,2,2
186B,evening,2,2
186,early_morning,2,4
186,AM_peak,3,6
186,midday,2,4
186,PM_peak,3,6
186,evening,2,4
187,early_morning,2,5
187,AM_peak,3,7
187,midday,2,5
187,PM_peak,3,7
187,evening,2,5
188,early_morning,2,5
188,AM_peak,1,3
188,midday,2,5
188,PM_peak,1,3
188,evening,2,5
189,early_morning,2,2
189,AM_peak,2,2
189,midday,2,2
189,PM_peak,2,2
189,evening,2,2
18,early_morning,2,2
18,AM_peak,1,1
18,midday,2,2
18,PM_peak,1,1
18,evening,2,2
190A,early_morning,2,3
190A,AM_peak,2,3
190A,midday,2,3
190A,PM_peak,2,3
190A,evening,2,3
190,early_morning,4,3
190,AM_peak,2,2
190,midday,4,3
190,PM_peak,2,2
190,evening,4,3
191,early_morning,2,4
191,AM_peak,3,6
191,midday,2,4
191,PM_peak,3,6
191,evening,2,4
192A,early_morning,2,2
192A,AM_peak,2,2
192A,midday,2,2
192A,PM_peak,2,2
192A,evening,2,2
192,early_morning,2,2
192,AM_peak,2,2
192,midday,2,2
192,PM_peak,2,2
192,evening,2,2
193,early_morning,1,3
193,AM_peak,1,3
193,midday,1,3
193,PM_peak,1,3
193,evening,1,3
195,early_morning,2,3
195,AM_peak,2,3
195,midday,2,3
195,PM_peak,2,3
195,evening,2,3
196A,early_morning,1,2
196A,AM_peak,1,2
196A,midday,1,2
196A,PM_peak,1,2
196A,evening,2,4
196,early_morning,2,4
196,AM_peak,1,2
196,midday,2,4
196,PM_peak,1,2
196,evening,2,4
197,early_morning,2,5
197,AM_peak,1,3
197,midday,2,5
197,PM_peak,1,3
197,evening,2,5
198,early_morning,2,3
198,AM_peak,2,3
198,midday,2,3
198,PM_peak,2,3
198,evening,2,3
19A,early_morning,2,3
19A,AM_peak,1,2
19A,midday,2,3
19A,PM_peak,2,3
19A,evening,2,3
19B,early_morning,3,4
19B,AM_peak,2,3
19B,midday,3,4
19B,PM_peak,2,3
19B,evening,3,4
19,early_morning,2,4
19,AM_peak,1,2
19,midday,2,4
19,PM_peak,1,2
19,evening,2,4
200A,early_morning,3,2
200A,AM_peak,3,2
200A,midday,3,2
200A,PM_peak,3,2
200A,evening,3,2
200,early_morning,2,3
200,AM_peak,2,3
200,midday,2,3
200,PM_peak,2,3
200,evening,2,3
201,early_morning,1,5
201,AM_peak,1,5
201,midday,1,5
201,PM_peak,1,5
201,evening,1,5
202A,early_morning,2,4
202A,AM_peak,1,2
202A,midday,2,4
202A,PM_peak,1,2
202A,evening,2,4
202B,early_morning,2,4
202B,AM_peak,1,2
202B,midday,2,4
202B,PM_peak,1,2
202B,evening,2,4
202,early_morning,2,5
202,AM_peak,1,3
202,midday,2,5
202,PM_peak,1,3
202,evening,2,5
203,early_morning,2,3
203,AM_peak,3,5
